Referencia Product,Descripción,COSTE,Referencia Proveed,Código Proveedor,Nombre Proveedor,Códig Familia,Nombre Familia,Fecha Alta,Bajo pedido,STOCK
AC-001513,INTERRUPTOR TEE XCKD2118P16,"14,300",,003039,"ABM REXEL, S.L.U.",00005,ELECTRICIDAD,01-12-14,bajo pedido,
AC-001514,CAJA PULSADOR TEE XAL-K178F,"23,800",,003039,"ABM REXEL, S.L.U.",00005,ELECTRICIDAD,01-12-14,bajo pedido,
AC-001515,ETIQUETA CIRCULAR TEE ZBY-9330,"2,600",,003039,"ABM REXEL, S.L.U.",00006,ELECTRICIDAD,01-12-14,bajo pedido,
AC-001516,PRENSAESTOPAS IRIS-P M16 21011160,"0,210",,003039,"ABM REXEL, S.L.U.",00007,ELECTRICIDAD,01-12-14,bajo pedido,
AC-001517,TUBO PEMSA LG-PA 10043036 (METRO),"2,165",,003039,"ABM REXEL, S.L.U.",00008,ELECTRICIDAD,01-12-14,bajo pedido,
AC-001518,SOPORTE TUBO PEMSA 32095700,"1,269",,003039,"ABM REXEL, S.L.U.",00009,ELECTRICIDAD,01-12-14,bajo pedido,
AC-001519,TAPA SOPORTE PEMSA 32096700,"0,413",,003039,"ABM REXEL, S.L.U.",00010,ELECTRICIDAD,01-12-14,bajo pedido,
AC-001520,RACOR AB90 PEMSA 32050700,"5,949",,003039,"ABM REXEL, S.L.U.",00011,ELECTRICIDAD,01-12-14,bajo pedido,
AC-003017,Bandeja portacables PEMSABAND GS 200x60 758 222 00,"4,376",75822200,003039,"ABM REXEL, S.L.U.",00005,ELECTRICIDAD,02-11-15,bajo pedido,
AC-003018,Bandeja portacables PEMSABAND GS 100x60 75822100,"2,822",75822100,003039,"ABM REXEL, S.L.U.",00005,ELECTRICIDAD,02-11-15,bajo pedido,
AC-003019,Tapa recta PEMSA 200x60 730 212 00,"2,699",730 212 00,003039,"ABM REXEL, S.L.U.",00005,ELECTRICIDAD,02-11-15,bajo pedido,
AC-003020,Tapa recta PEMSA 100x60 730 211 00,"1,702",730 211 00,003039,"ABM REXEL, S.L.U.",00005,ELECTRICIDAD,02-11-15,bajo pedido,
AC-003021,Unión PEMSABAND 71022005,"0,930",71022005,003039,"ABM REXEL, S.L.U.",00005,ELECTRICIDAD,02-11-15,bajo pedido,
AC-003022,Tornillo M6x12 PEMSA 67010099,"0,052",67010099,003039,"ABM REXEL, S.L.U.",00005,ELECTRICIDAD,02-11-15,bajo pedido,
AC-003023,Tuerca M6 PEMSA 64010059,"0,027",64010059,003039,"ABM REXEL, S.L.U.",00005,ELECTRICIDAD,02-11-15,bajo pedido,
AC-003024,Perfil protección PEMSA 71000000,"2,040",71000000,003039,"ABM REXEL, S.L.U.",00005,ELECTRICIDAD,02-11-15,bajo pedido,
AC-003025,Soporte pared PEMSA A100 62031104,"2,032",62031104,003039,"ABM REXEL, S.L.U.",00005,ELECTRICIDAD,02-11-15,bajo pedido,
AC-003026,Soporte pared PEMSA A200 62031204,"3,437",620 312 04,003039,"ABM REXEL, S.L.U.",00005,ELECTRICIDAD,02-11-15,bajo pedido,
AC-003027,Soporte techo PEMSA A100 62032104,"3,375",62032104,003039,"ABM REXEL, S.L.U.",00005,ELECTRICIDAD,02-11-15,bajo pedido,
AC-003109,TUBO PEMSA DN16 (tira 3 m),"0,930",,003039,"ABM REXEL, S.L.U.",00006,ELECTRICIDAD,17-11-15,bajo pedido,
AC-003110,CURVA 90 GRADOS PEMSA DN16,"3,010",,003039,"ABM REXEL, S.L.U.",00007,ELECTRICIDAD,17-11-15,bajo pedido,
AC-003111,MANGUITO UNIÓN TUBO PEMSA DN16,"1,360",,003039,"ABM REXEL, S.L.U.",00008,ELECTRICIDAD,17-11-15,bajo pedido,
AC-003113,Maneta de Plástico RITTAL (sin cilindro de seguridad),"11,000",SZ 2485.100,003039,"ABM REXEL, S.L.U.",00005,ELECTRICIDAD,17-11-15,bajo pedido,
AC-003124,Interruptor de posición SIRIUS 3SE5 413-0CD20-1EB1,"21,792",3SE5 413-0CD20-1EB,003039,"ABM REXEL, S.L.U.",00005,ELECTRICIDAD,18-11-15,bajo pedido,
AC-003135,Transformador para portalámparas 400/24V 3SB34 00-3F Siemens,"19,906",3SB34 00-3F,003039,"ABM REXEL, S.L.U.",00005,ELECTRICIDAD,24-11-15,bajo pedido,
AC-003150,"Tope de puerta, acero inox  ADO202S","21,296",ADO202S,003039,"ABM REXEL, S.L.U.",00005,ELECTRICIDAD,26-11-15,bajo pedido,
AC-003591,PLACA MONT. METALICA 600X600 NSYMM66,"23,970",NSYMM66,003039,"ABM REXEL, S.L.U.",00005,ELECTRICIDAD,12-05-16,bajo pedido,
AC-003604,Interruptor automático magnetotérmico iC60N - 1P + N - 16A - B,"24,021",A9F78216,003039,"ABM REXEL, S.L.U.",00005,ELECTRICIDAD,19-05-16,bajo pedido,
AC-003068,EXTINTOR CO2 2KG EFICACIA 34B (ALEMÁN),"57,400",,003442,"ABTEX, S.A.",00029,ACCESORIOS,11-11-15,bajo pedido,
AC-003069,SOPORTE DOBLE CINCHA EXTINTOR CO2 2KG,"9,800",RC172AF,003442,"ABTEX, S.A.",00029,ACCESORIOS,11-11-15,bajo pedido,
AC-003081,EXTINTOR CO2 2KG EFICACIA 34B,"57,400",,003442,"ABTEX, S.A.",00029,ACCESORIOS,12-11-15,bajo pedido,
AC-003720,Soporte extintor polvo 6 kg,"15,400",,003442,"ABTEX, S.A.",00008,MONTAJES,01-07-16,bajo pedido,
AC-003912,EXTINTOR CO2 2KG EFICACIA 34B (INGLÉS),"57,400",,003442,"ABTEX, S.A.",00029,ACCESORIOS,12-12-16,bajo pedido,
AC-004006,Extintor POLVO 2kg (FRANCÉS),"57,200",,003442,"ABTEX, S.A.",00029,ACCESORIOS,23-01-17,bajo pedido,
AC-000372,KIT CARROCERIA PLEGADOR DE TOLDO,"2.900,350",,003060,ACEM CARROCERIAS Y GRUAS PARA CAMIONES,00010,VEHICULOS DTA,12-11-10,bajo pedido,
AC-001575,CAJON HERRAMIENTAS CHAPA CINCADO NEGRO 400x300x300,"71,167",0202101,003158,"ADAICO, S.L.",00007,MECANICA,23-01-15,bajo pedido,
AC-003291,Cajón Herramientas Cincado Negro 500x350x400 0202103,"79,723",0202103,003158,"ADAICO, S.L.",00002,HERRAMIENTAS,11-01-16,bajo pedido,
AC-004620,Semaforo de 2 colores leds MONACO,"110,000",SFLE2,003594,"ADO URBAN FURNITURE, S.L.",00005,ELECTRICIDAD,20-07-17,bajo pedido,
AC-001716,SEMIEJE ADR SIN FRENO SA0UA100,"268,800",SA0UA100N002,003378,"ADR GEPLASMETAL, S.A.U.",00007,MECANICA,01-06-15,bajo pedido,
AC-001717,SEMIEJE ADR CON FRENO,"350,000",SA0UA1TG,003378,"ADR GEPLASMETAL, S.A.U.",00007,MECANICA,01-06-15,bajo pedido,
AC-001718,CILINDRO FRENO,"34,000",813107,003378,"ADR GEPLASMETAL, S.A.U.",00004,HIDRAULICA,01-06-15,bajo pedido,
AC-001753,EJE S/F A80RM600(650MM),"196,000",A80RM600(650MM),003378,"ADR GEPLASMETAL, S.A.U.",00007,MECANICA,17-06-15,bajo pedido,
AC-001754,SEMI-EJE S80RM600(260MM),"98,000",A80RM600(650MM),003378,"ADR GEPLASMETAL, S.A.U.",00007,MECANICA,17-06-15,bajo pedido,
AC-003695,"Semiejes s/p SA0UA100N002, C230","220,000",,003378,"ADR GEPLASMETAL, S.A.U.",00007,MECANICA,23-06-16,bajo pedido,
AC-003696,"Semiejes según plano SA0UA100N002, C280","220,000",,003378,"ADR GEPLASMETAL, S.A.U.",00007,MECANICA,23-06-16,bajo pedido,
AC-003869,Eje sin freno AA4ZA100N(736),"1.152,000",AA4ZA100N(736),003378,"ADR GEPLASMETAL, S.A.U.",00007,MECANICA,11-10-16,bajo pedido,
AC-003947,Eje Recto SIN Freno,"440,000",AA0UA800N014,003378,"ADR GEPLASMETAL, S.A.U.",00007,MECANICA,28-12-16,bajo pedido,
AC-004041,SEMI EJE AG. RECTO SIN FRENO S.E.RZ-SEMI EJE AG. RECTO SIN FRENO S.E.RZ-504500000009316 C250 ADR,"31,750",S50JA500032,003378,"ADR GEPLASMETAL, S.A.U.",00007,MECANICA,30-01-17,bajo pedido,
AC-001057,EJE CON FRENO A 90RM 6IC,"550,000",,000171,ADR SPA,00007,MECANICA,04-10-13,bajo pedido,
AC-000048,CONSOLA BN64 + MANGUERAS 10 M,"1.417,500",,000110,"AEROGO, INC.",00021,AEROGO,08-03-10,bajo pedido,
AC-000059,AEROCASTER 8N,"161,000",,000110,"AEROGO, INC.",00021,AEROGO,18-03-10,bajo pedido,
AC-000085,AEROCASTER 12N,"188,300",,000110,"AEROGO, INC.",00021,AEROGO,13-04-10,bajo pedido,
AC-000145,AEROCASTER 15N,"223,539",15N,000110,"AEROGO, INC.",00021,AEROGO,17-06-10,bajo pedido,
AC-000190,COLCHON DE AIRE MOD. K48NHD,"3.787,200",,000110,"AEROGO, INC.",00021,AEROGO,27-07-10,bajo pedido,
AC-000219,AEROCASTER 15 N,"201,149",15N,000110,"AEROGO, INC.",00021,AEROGO,03-12-10,bajo pedido,
AC-000172,GUÍAS LINEALES 600mm DE EXTENSIÓN,"28,000",,000172,AEROTECNICA S.A.,00007,MECANICA,15-07-10,bajo pedido,
AC-000435,GUIA TELESCOPICA 9301-0034,"67,102",DZ9301-0034,000172,AEROTECNICA S.A.,00007,MECANICA,04-05-11,,6
AC-000436,GUIA TELESCOPICA 9308-0034-L,"97,269",DZ9308-0034L,000172,AEROTECNICA S.A.,00007,MECANICA,04-05-11,,6
AC-001765,GUIA TELESCOPICA 9301-0036,"79,347",DZ9301-0036,000172,AEROTECNICA S.A.,00007,MECANICA,18-06-15,,4
AC-001766,GUIA TELESCOPICA CON FRENO 9308-0036L,"107,282",DZ9308-0036L,000172,AEROTECNICA S.A.,00007,MECANICA,18-06-15,,4
AC-003826,GUIA TELESCOPICA  3507-0026,"36,700",DZ3507-0026,000172,AEROTECNICA S.A.,00007,MECANICA,15-09-16,bajo pedido,
AC-004623,GUIA TELESCOPICA CON FRENO DZ9308-0028L,"94,800",DZ9308-0028L,000172,AEROTECNICA S.A.,00007,MECANICA,21-07-17,bajo pedido,
AC-004624,GUIA TELESCOPICA DZ9301-0028U,"69,000",DZ9301-0028U,000172,AEROTECNICA S.A.,00007,MECANICA,21-07-17,bajo pedido,
AC-000387,SONDA OLEAJE,"0,000",,003084,AKAMINA TECHNOLOGIES,00003,REPRESENTADA,04-03-11,bajo pedido,
AC-000272,JOYSTICK DE POSICION DE PENNY&GILES MOD. JC400-C-Y-R-MA-ZC-N,"149,000",,003073,"ALAVA INGENIEROS, S.A.",00035,REPUESTOS,25-01-11,bajo pedido,
AC-004459,ARMARIO CRN C/PTA.CIEGA 1000x800x300mm,"153,680",NSYCRN108300,003576,"ALMACENES ELECTRICOS MADRILEÑOS, S.A.",00005,ELECTRICIDAD,23-05-17,bajo pedido,
AC-004460,RETENEDOR PUERTA P/ARM.500mm,"15,800",NSYAEDRSCST,003576,"ALMACENES ELECTRICOS MADRILEÑOS, S.A.",00005,ELECTRICIDAD,23-05-17,bajo pedido,
AC-004461,DISYUNTOR MAGNETOTERMICO 48...65A,"139,296",GV3P65,003576,"ALMACENES ELECTRICOS MADRILEÑOS, S.A.",00005,ELECTRICIDAD,23-05-17,bajo pedido,
AC-004462,"DISYUNTOR MAGNETOTERMICO 1-1,6A","36,390",GV2ME06,003576,"ALMACENES ELECTRICOS MADRILEÑOS, S.A.",00005,ELECTRICIDAD,23-05-17,bajo pedido,
AC-004463,CONTOCATOR 80A 1NA/1NC 400V 50/60Hz,"172,670",LC1D80V7,003576,"ALMACENES ELECTRICOS MADRILEÑOS, S.A.",00005,ELECTRICIDAD,23-05-17,bajo pedido,
AC-004464,MINICONTACTOR 6A 3P 380V CA 50/60Hz,"18,310",LC1K0610Q7,003576,"ALMACENES ELECTRICOS MADRILEÑOS, S.A.",00005,ELECTRICIDAD,23-05-17,bajo pedido,
AC-004465,CONTACTO AUX FRONT NA/NC,"5,930",GVAE11,003576,"ALMACENES ELECTRICOS MADRILEÑOS, S.A.",00005,ELECTRICIDAD,23-05-17,bajo pedido,
AC-000404,PASTILLAS DE FRENO PARA SB14.21,"0,000",8,003090,ALPLACO - COMERCIO INTERNACIONAL,00030,BUBENZER,31-03-11,bajo pedido,
AC-000416,PASTILLA FRENO PARA SBZ14.21-630-201/8,"395,000",,003090,ALPLACO - COMERCIO INTERNACIONAL,00030,BUBENZER,26-04-11,bajo pedido,
AC-000417,PASTILLAS FRENO PARA SB28-630-201/6,"395,857",,003090,ALPLACO - COMERCIO INTERNACIONAL,00030,BUBENZER,26-04-11,bajo pedido,
AC-000456,REF. 8-248-.110 SOLENOIDE GS 135.6902 PREPARADO PARA RECTIF. BB0009 PARA FRENO SB17MX133,"889,000",8-248-.110 ,003090,ALPLACO - COMERCIO INTERNACIONAL,00030,BUBENZER,09-05-11,bajo pedido,
AC-000778,REF. 8-251.576.5 PASTILLA FRENO PARA SB28-450,"0,000",8-251.576.5,003090,ALPLACO - COMERCIO INTERNACIONAL,00030,BUBENZER,14-06-12,bajo pedido,
AC-000851,REF. 8-251.560 PASTILLA FRENO SB 14.31,"426,000",8-251.560,003090,ALPLACO - COMERCIO INTERNACIONAL,00031,BUBENZER,30-11-12,bajo pedido,
AC-000852,REF. 8-903.025 TORNILLO HEXAGONAL PARA FIJACION PASTILLE SB14.31,"3,200",8-903.025,003090,ALPLACO - COMERCIO INTERNACIONAL,00032,BUBENZER,30-11-12,bajo pedido,
AC-000876,REF.  8-412.07 ACTUADOR ELECTROHIDRÁULICO ELDRO ED30/50-230/400V; 50HZ,"1,070",8-412.07,003090,ALPLACO - COMERCIO INTERNACIONAL,00033,BUBENZER,24-01-13,bajo pedido,
AC-000983,ACTUADOR ELECTROHIDRAULICO TIPO ED 50/6,"0,000",,003090,ALPLACO - COMERCIO INTERNACIONAL,00034,BUBENZER,03-06-13,bajo pedido,
AC-000984,ACTUADOR ELECTROHIDRAULICO TIPO ED 23/5,"2.443,000",,003090,ALPLACO - COMERCIO INTERNACIONAL,00035,BUBENZER,03-06-13,bajo pedido,
AC-000985,ACTUADOR ELECTROHIDRAULICO TIPO ED 121/6,"0,000",,003090,ALPLACO - COMERCIO INTERNACIONAL,00036,BUBENZER,03-06-13,bajo pedido,
AC-001339,CHAPA DAMERO ALUMINIO 3000x1500x4MM,"2,940",0485004054DAME,000160,"ALU-STOCK, S.A.",00007,MECANICA,06-08-14,bajo pedido,
AC-000889,REJIBAND 35X200 (L=3M),"3,960",,003163,"ALVAREZ BELTRAN, S.A.",00008,MONTAJES,04-03-13,bajo pedido,
AC-000890,PLACA UNION REJIBAND (50 UD.),"0,140",,003163,"ALVAREZ BELTRAN, S.A.",00008,MONTAJES,04-03-13,bajo pedido,
AC-001030,BANDEJA REJIBAND 60X60 BICRO 60222060,"2,694",,003163,"ALVAREZ BELTRAN, S.A.",00007,MECANICA,14-08-13,bajo pedido,
AC-001031,PEMSA FIJACION TECHO Z.B. 67020052,"0,437",,003163,"ALVAREZ BELTRAN, S.A.",00007,MECANICA,14-08-13,bajo pedido,
AC-001032,CANAL REJITECH TECHO 60225020,"3,756",,003163,"ALVAREZ BELTRAN, S.A.",00007,MECANICA,14-08-13,bajo pedido,
AC-000376,SOPORTE MARINO MEDIANO 55Sh 136023,"24,107",136023,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,12-01-11,bajo pedido,
AC-000589,SILENTBLOCK BRB70,"9,852",BRB70,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,30-11-11,bajo pedido,
AC-000678,SOPORTE CILINDRICO 75x25-M12 121093,"5,226",121093,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,08-03-12,bajo pedido,
AC-000711,SILENTBLOCK BRB-110-M12  70SH 135244,"25,904",135244,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,29-03-12,bajo pedido,
AC-000950,SOPORTE MACHO D 110095,"0,858",110095,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,06-05-13,bajo pedido,
AC-000951,Silent Block Hembra-Hembra 20x20  122023,"1,224",122023,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,06-05-13,bajo pedido,
AC-001086,SOPORTE MECANOCAUCHO MARINO 45Sh,"26,112",,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,07-11-13,bajo pedido,
AC-001105,"TOPE MACHO D 25,5x19 110015","0,840",110015,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,09-12-13,bajo pedido,
AC-001106,TOPE MACHO D 40x25 110110,"1,254",110110,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,09-12-13,bajo pedido,
AC-001146,TOPE MACHO D DIA.25.5X30 110018,"0,858",110018,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,23-01-14,bajo pedido,
AC-001204,TOPE MACHO D 110111,"1,254",110111,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,18-03-14,bajo pedido,
AC-001248,TOPE SIMPLE 110014,"0,861",110014,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,11-04-14,bajo pedido,
AC-001288,SOPORTE CB 60,"11,202",CB60,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,08-05-14,bajo pedido,
AC-001289,SOPORTE CILINDRICO MIXTO B D30 L40 M8 121044,"1,338",121044,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,08-05-14,bajo pedido,
AC-001290,SOPORTE CILINDRICO MIXTO B D40 L25 M10 121191,"1,614",121191,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,08-05-14,bajo pedido,
AC-001866,"TOPE SIMPLE MACHO D DIA.25,5x22 110016","0,906",110016,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,12-08-15,bajo pedido,
AC-001867,SILENTBLOCK BRB-110-M16 40SH 135331,"27,900",135331,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,12-08-15,bajo pedido,
AC-001868,FLECTOR 35MKG 160205,"57,942",160205,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,12-08-15,bajo pedido,
AC-001904,TACO GOMA 20X20,"1,140",,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,07-09-15,bajo pedido,
AC-003045,Silent Block Hembra-Hembra C 30x30xM8 122043,"1,421",122043,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,05-11-15,bajo pedido,
AC-003046,Silent Block Macho-Hembra B 40x45xM10,"1,782",121055,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,05-11-15,bajo pedido,
AC-003047,Silent Block Simple Macho D 40x45xM11 110028,"1,542",110028,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,05-11-15,bajo pedido,
AC-003048,Soporte Pie Tipo SV Bajo 147000,"1,488",147000,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,05-11-15,bajo pedido,
AC-003284,Silent Block Macho D 80x70xm14 110049,"7,794",110049,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,08-01-16,bajo pedido,
AC-003285,Silent Block Macho-Macho A 25.5x10xM6 120171,"0,976",120171,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,08-01-16,bajo pedido,
AC-003607,Tope progresivo T-120 MACHO A 116002,"12,420",116002,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,19-05-16,bajo pedido,
AC-003611,Silent block Hembra-Hembra M5 16x20 122013,"1,122",122013,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,25-05-16,bajo pedido,
AC-003802,Soporte antivibratorio SCH 65 60Sh 138502,"17,736",138502,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,07-09-16,bajo pedido,
AC-003803,"Arandela SCH 65  Ø66xØ16,5x5    606130","1,182",606130,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,07-09-16,bajo pedido,
AC-003804,Soporte antivibratorio SCHR 50 	138534,"13,020",138534,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,07-09-16,bajo pedido,
AC-003805,"Arandela SCHR 50 Ø54xØ12,5x3 EXEN CR6     611080","0,828",611080,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,07-09-16,bajo pedido,
AC-003906,Silent Block Simple Hembra E30x30 M8 111022,"1,332",111022,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,24-11-16,bajo pedido,
AC-004058,Amortiguador BRB-60 135101,"10,842",135101,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,01-02-17,bajo pedido,
AC-004066,Silent Block Macho-Macho 20x20 120023,"0,972",120023,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,07-02-17,bajo pedido,
AC-004269,SILENTBLOCK REDUCTOR Ø40x17-Ø13 (Shore A 70),"0,000",,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,03-04-17,bajo pedido,
AC-004270,Art Excentrica MINI 60Sh 154163,"15,670",154163,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,03-04-17,bajo pedido,
AC-004451,Soporte BRB50 70Sh  135457,"10,476",135457,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,19-05-17,bajo pedido,
AC-004555,SILENTBLOCK M-H Ø30x30-M8x20 110022,"1,176",110022,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,26-06-17,bajo pedido,
AC-004556,SILENTBLOCK BRB 60 D70  135104,"11,004",135104,003070,AMC MECANOCAUCHO S.A.,00008,MONTAJES,26-06-17,bajo pedido,
AC-000903,SENSOR INDUCTIVO M8 DTA-6624,"21,890",,000155,"AMIDATA, S.A.",00005,ELECTRICIDAD,08-03-13,bajo pedido,
AC-001992,"Sensor Inductivo Telemecanique M12, S=4mm, PNP, 24Vdc","29,100",XS112B3PAL2,000155,"AMIDATA, S.A.",00005,ELECTRICIDAD,15-10-15,bajo pedido,
AC-003335,Han B Base Panel 1 Lever Metal Cover,"34,580",09300060318,000155,"AMIDATA, S.A.",00005,ELECTRICIDAD,22-01-16,bajo pedido,
AC-003336,Han E 06 Pos. F Insert Screw,"8,010",09330062701,000155,"AMIDATA, S.A.",00005,ELECTRICIDAD,22-01-16,bajo pedido,
AC-003337,Han 6 B Hood Top Entry LC 2 Pegs-M20,"11,330",19300061440,000155,"AMIDATA, S.A.",00005,ELECTRICIDAD,22-01-16,bajo pedido,
AC-003370,"Carcasa Harting - Han B, Size 24B, 2xM32, Metal.","38,920",19300240467,000155,"AMIDATA, S.A.",00005,ELECTRICIDAD,04-02-16,bajo pedido,
AC-003569,"UKH 70  Bloque Terminal Montaje Carril DIN, 2 Vías, 1 kV, 192 A, 3/0 AWG, 95 mm²","18,420",3213140,000155,"AMIDATA, S.A.",00005,ELECTRICIDAD,03-05-16,bajo pedido,
AC-003570,End clamp - E/NS 35 N - 0800886,"1,150",800886,000155,"AMIDATA, S.A.",00005,ELECTRICIDAD,03-05-16,bajo pedido,
AC-003577,Cabezal de interruptor de llave 3SB3500-4AD11 ,"20,920",3SB3500-4AD11 ,000155,"AMIDATA, S.A.",00005,ELECTRICIDAD,03-05-16,bajo pedido,
AC-003578,Bloque de contactos Siemens 3SB34000A 1NA 1NC Terminal Roscado,"3,873",3SB34000A,000155,"AMIDATA, S.A.",00005,ELECTRICIDAD,09-05-16,bajo pedido,
AC-003579,Cable M23x1 Female 12 pin  5m KUBLER 8.0000.6901.0005.0031,"40,000",447-6085,000155,"AMIDATA, S.A.",00005,ELECTRICIDAD,09-05-16,bajo pedido,
AC-003605,"UKH 50  Bloque Terminal Montaje Carril DIN, 2 Vías, 1 kV, 150 A, 14 AWG, 50 mm²","7,025",3009118,000155,"AMIDATA, S.A.",00005,ELECTRICIDAD,19-05-16,bajo pedido,
AC-003606,Puente enchufable Phoenix Contact - FBS 2-6,"0,356",3030336,000155,"AMIDATA, S.A.",00005,ELECTRICIDAD,19-05-16,bajo pedido,
AC-003790,Seta emergencia Schneider XALK178F,"39,460",XALK178F,000155,"AMIDATA, S.A.",00005,ELECTRICIDAD,11-08-16,bajo pedido,
AC-004271,"Conector automotor Delphi 15300027, 2 contactos, Negro, Hembra","2,030",15300027,000155,"AMIDATA, S.A.",00005,ELECTRICIDAD,04-04-17,bajo pedido,
AC-004272,"Contacto de crimpado Delphi 12129493, Serie Metri-Pack 280","0,100",12129493,000155,"AMIDATA, S.A.",00005,ELECTRICIDAD,04-04-17,bajo pedido,
AC-004319,"JUMPER BAR, 20 POS, RED REF:3030226","56,000",3030226,000155,"AMIDATA, S.A.",00005,ELECTRICIDAD,07-04-17,bajo pedido,
AC-001094,MEDICIÓN LASER TRACKER DTA-6614,"1.854,000",SER-217/13-REV01,003281,"AMS, ADVANCED METROLOGY SOLUTIONS",00007,MECANICA,28-11-13,bajo pedido,
