Cód.,D.N.I / C.I.F.,Nombre,Dirección,Provincia,Población,C.P.,Teléfono,Email,País,País ISO,Forma de pago,Descripción forma de pago,Divisa,Régimen IVA
000618,,FAGOR ARRASATE S. COOP,,,,,,,,,,Contado,EUR,General
000620,A36600740,FACTORIAS VULCANO S.A.,,Madrid,,,,,,ES,,Contado,EUR,General
000624,A03083763,FORADIA SAL,"C/Severino Albarracín, 3-5",Alicante / Alacant,ALCOY,03804,96 5333346,,España,ES,,,EUR,General
000625,F20025292,FAGOR EDERLAN S. COOP.,"Torrebaso Pasealekua, 7 (Apdo",Guipúzcoa,ESKORIATZA,20540,943 719000,,España,ES,,Transferencia a 60 días f.f.,EUR,General
000626,B50386879,MOLINOS ALFAU S.L.,"Pol. Ind. ""Los Royales"", s/n -",Zaragoza,PINA DE EBRO,50750,976 166 552,,España,ES,,,EUR,General
000627,,MPO LISBOA LDA,,,,,,,,,,Contado,EUR,General
000629,,MORTON TRES INT.,,,,,,,,,,Contado,EUR,General
000630,,MAREIPORT S.A.,,,,,,,,,,Contado,EUR,General
000631,,FOSTER WHEELER ENERGIA S.A.,,,,,,,,,,Contado,EUR,General
000632,,FRED OLSEN S.A.,,,,,,,,,,Contado,EUR,Exento
000633,,FUNDACIONES DURANGO,,,,,,,,,,Contado,EUR,General
000703,A36612547,"M. GONZÁLEZ SUÁREZ, S.A.","Rúa da Iglesia, 26-28, 29",Pontevedra,BEMBRIVE-VIGO,36313,986 424 560,compras@gonsusa.es,España,ES,,,EUR,General
000712,A95318879,"GAMESA ENERGY TRANSMISSION, S.A.U.","Parque Tecnológico de Zamudio,",Vizcaya,ZAMUDIO,09340,947 177 144,,España,ES,,,EUR,General
000714,U-35922640,GROUNDFORCE UTE GRAN CANARIA,Aeropuerto GANDO-TELDE,Las Palmas,TELDE,35230,928 579 335,claudio.robaina@globalia-corp.com,España,ES,,Transferencia a 60 días f.f.,EUR,General
000715,,"GE WIND ENERGY, S.L.",,,,,,,,,,Contado,EUR,General
000716,,GESTION Y SERVICIO HIDRONEUMATICO,,,,,,,,,,Contado,EUR,General
000717,B36352235,GALLEGA DE SUMIN. INDUST. 2020,P.I.LALIN 2000-FASE III 15.1 Y,Pontevedra,LALIN,36500,,,,ES,,Pago a 85 días f.f.,EUR,General
000718,U35922640,GLOBALIA HANDLING SAU,OFICINA GROUNFORCE,Las Palmas,AEROPUESTO DE GANDO-TELDE,35230,,,,ES,,Transferencia a 60 días f.f.,EUR,General
000801,,GVA KREFELD,,Madrid,,,,,,ES,,,EUR,General
000803,,HANAGA S.L.,,,,,,,,,,Contado,EUR,General
000806,,HIAB CRANES S.A.,,Madrid,,,,,,ES,,Contado,EUR,General
000809,,HABIDITE PROYECTS S.A.,,,,,,,,,,Contado,EUR,General
000810,,HYDROPYC S.L.,,,,,,,,,,Contado,EUR,General
000902,,INVERIBIZA 2005 S.L.,,Madrid,,,,,,ES,,,EUR,General
000930,B-58584582,"JOSE LLINAS E HIJOS, S.L.","Carretera Circunvalación, Tram",Barcelona,BARCELONA,08040,93 2235772,,España,ES,,,EUR,General
000931,B34103952,INMAPA-INDUSTRIAL MATRICERA PALENTINA,"Carretera de Oalencia a Magaz,",Palencia,VILLAMURIEL DE CERRATO,34080,979165968 (Aero,,España,ES,,Transferencia a 60 días f.f.,EUR,General
000935,,IBERCONT CONTAINER MANUFACTURER SL,,,,,,,,,,Contado,EUR,General
000939,,JSV LOGISTICA S.L.,,,,,,,,,,Contado,EUR,General
000940,,IMEFY,,,,,,,,,,Contado,EUR,General
000941,A50219807,IBERCAJA LEASING Y FINANCIACION,"PASEO DE LA CONSTITUCION 4, 1ª",Zaragoza,ZARAGOZA,50008,,,,ES,,Contado,EUR,General
001001,,"KALMAR ESPAÑA, S.A.",,Madrid,,,,,,ES,,,EUR,General
001102,,KORUS SUMINISTROS INDUSTRIALES S.A.,,,,,,,,,,Contado,EUR,General
001103,,KATLA SEAFOOD EHF,,,,,,,,,,Contado,EUR,General
001112,A48055560,"KAEFER SERVICIOS INDUSTRIALES, S.A.","C/Ribera de Erandio, 6",Vizcaya,ERANDIO,48950,94 671 07 90,compras@kaefer.es,España,ES,,,EUR,General
001201,02625456Y,LENDRINO - JUAN BAUTISTA,,Madrid,,,,,,ES,,,EUR,General
001202,39351694M,LOPEZ GARCIA - MARIA SOLEDAD,Pª PEDRO III 67 3º 1ª,Barcelona,MANRESA,08240,,,,ES,,,EUR,General
001301,,MERELLO DE MIGUEL - IGNACIO,,Madrid,,,,,,ES,,,EUR,General
001321,,"MAERSK ESPA¾A, S.A.",,,,,,,,,,Contado,EUR,General
001322,A28108819,MANUFACTURAS Y ACCESORIOS ELECTRICOS SA,La Solana núm. 15-Apartado 15,Madrid,TORREJON DE ARDOZ,28850,91 6751512,,,ES,,,EUR,General
001330,,"MULTISERV LYCRETE, S.A.",,,,,,,,,,Contado,EUR,General
001332,,MAIER S. COOP,,,,,,,,,,Contado,EUR,General
001335,,MECANIZADOS GANNAU S.L.,,,,,,,,,,Contado,EUR,General
001336,B84832989,MCH -METODO CONSTRUCTIO HABITACIONAL S.L,"Avda. Quitapesares, 11 - Parqu",Madrid,VILLAVICIOSA DE ODON,28670,,,España,ES,,Transferencia a 60 días f.f.,EUR,General
001337,B15398597,MANTENIMIENTO Y SERVICIOS TECMAN S.L.,"Carretera de Cedeira, Km. 1,5",La Coruña / A Coruña,NARON,15570,981 397 283,tecman@tecman.com.es,España,ES,,Pago a 85 días f.f.,EUR,General
001338,B61873139,MULTIMODAL MEDITERRANEA S.L.,JOSEPH CARNERR S/N TERM.RENGE,Barcelona,BARCELONA,08038,,,,ES,,Contado,EUR,General
001339,A08148710,MARITIMA DEL MEDITERRANEO S/N,AVDA. FERRANDIS SALVADOR S/N,Castellón / Castelló,GRAO DE CASTELLON,12100,,,,ES,,Contado,EUR,General
001403,B11013638,"N.S. LOURDES, S.L.","Plgno. Ind. Río San Pedro, C/V",Cádiz,PUERTO REAL,11510,956 478264,,España,ES,,,EUR,General
001410,A84076397,"NAVANTIA, S.A.","Velázquez, 132",Madrid,MADRID,28006,,,España,ES,,,EUR,General
001412,,NAVAL GIJON S.A.U.,,,,,,,,,,Contado,EUR,General
001413,A35008853,"NAVIERA ARMAS, S.A.","C/Juan Domínguez Pérez, 2 (Urb",Las Palmas,LAS PALMAS DE GRAN CANARIA,35008,928 327359,rrodriguez@naviera-armas.com,España,ES,,,EUR,Exento
001502,A48084909,OPCSA-OPERACIONES PORT.CANARIAS S.A,"Avda. de los Cambulloneros, s/",Las Palmas,LAS PALMAS DE GRAN CANARIA,35008,,,España,ES,,,EUR,Exento
001507,B48108898,"OLIVER DESIGN, S.L.","Estrada Diliz, 33",Vizcaya,GETXO,48990,94 491 40 54,oliver@oliverdesign.es,España,ES,,,EUR,General
001509,B43202076,OM MANUTENCION S.L.,Polígono Ind. Riu-Clar 167,Tarragona,TARRAGONA,43080,977 556088,,España,ES,,,EUR,General
001602,,PEREZ TORRES MARITIMAS S.L.,,,,,,,,,,Contado,EUR,General
001607,,PREVALESA S.L.,,Madrid,,,,,,ES,,Contado,EUR,General
001608,,PULIMOLD S.L.U.,,,,,,,,,,Contado,EUR,General
001610,,PREFABRICADOS DE ANDORRA SAU,,,,,,,,,,Contado,EUR,General
001611,,PULLMANTUR CRUISES ATLANTIC LTD,,,,,,,,,,Contado,EUR,General
001628,,MONCOBRA S.A.,,,,,,,,,,Contado,EUR,General
001701,,QUAIL CRUISES SHIP`MANAGEMENT,,,,,,,,,,Contado,EUR,General
001702,B83705947,QUICK MOTOR MADRID,,Madrid,,,,,,ES,,Contado,EUR,General
001803,,RAMONELL REVESTIMIENTOS S.L.,,,,,,,,,,Contado,EUR,General
001805,,REPSOL PETROLEO S.A.,,,,,,,,,,Contado,EUR,General
001806,A36631067,"REPARACIONES GENERALES NAVALES, S.A.",Bajada a La Lagoa-Espiñeiro-Te,Pontevedra,VIGO,36207,986 27 92 82,regenasa@regenasa.com,España,ES,,,EUR,General
001807,A28094712,REPSOL INVESTIGACIONES PETROLIFERAS,Paseo de la Castellana 278-280,Madrid,MADRID,28046,,,,ES,,Contado,EUR,General
001836,,RICO HUERTAS- LUIS,,,,,,,,,,Contado,EUR,General
001901,,SEBASTIAN CARAZO-JOSE ANTONIO,,Madrid,,,,,,ES,,,EUR,General
001902,,SPORTS MASTERS S.A.E.,,Madrid,,,,,,ES,,,EUR,General
001905,,SANCTI PETRI DE VIVIENDAS S.A.,,Madrid,,,,,,ES,,,EUR,General
001906,,SEBASTIAN MERELLO-MIGUEL,,Madrid,,,,,,ES,,,EUR,General
001907,07236617N,DE SEBASTIAN - GONZALO,,Madrid,,,,,,ES,,,EUR,General
001936,,SAE TUBO FABREGAT,,,,,,,,,,Contado,EUR,General
001940,,SIDENOR INDUSTRIAL S.L.,,,,,,,,,,Contado,EUR,General
001941,A81440786,SIEMENS RENTING S.A.,,Madrid,,,,,,ES,,Contado,EUR,General
001943,B15467749,SUMINDUSTRIA M.A. MONTERO,P.I. VILAR DO COLO PAR. V4,La Coruña / A Coruña,LARAXO-CABAÑAS,15622,,,,ES,,Contado,EUR,General
001945,B36846715,SUTACOR VIGO S.L.,CALLE LEVANTE 26 1º A,Pontevedra,VIGO,36206,,,,ES,,Contado,EUR,General
001946,B20790119,"SERVICANT,  S.L.","Ctra. N1, Km. 418",Guipúzcoa,OLABERRIA,20212,943 80 57 19,iservicant@servicant.com,España,ES,,,EUR,General
001948,,SERPISTA S.A.,,,,,,,,,,Contado,EUR,General
001949,,SEGRAN & TRITUSAN S.L.,,,,,,,,,,Contado,EUR,General
001950,,SIT TRANSPORTES INTERNACIONALES SL,,,,,,,,,,Contado,EUR,General
001951,,SUMIN. INDUST. Y RECAMBIOS S.L.,,,,,,,,,,Contado,EUR,General
001953,,SUMIN. IND. SERVOFLUID S.L.,P.I. JUAN CARLOS I - C/LA GRAN,Valencia / València,ALMUSSAFES,46440,,,,ES,,Contado,EUR,General
001954,SCO-020612-NK1,SMT CORPORATION S.A. DE C.V.,,Madrid,,,,,,ES,,Contado,EUR,General
002004,,TRANSMISIONES ZARAGOZA S.L.,,,,,,,,,,Contado,EUR,General
002009,,TTI TUBACEX TUBOS INOXIDABLES S.A.,,,,,,,,,,Contado,EUR,General
002101,UTE DTA - BALDU,UTE DTA - BALDUF,,Madrid,,,,,,ES,,,EUR,General
002117,,TCB TERMINAL CONTENIDORS DE BARCELO,,,,,,,,,,Contado,EUR,General
002118,B33037292,TRANSPORTES HNOS. CORTES S.L.,CALLE GALIANA 2,Asturias,AVILES,33400,,,,ES,,Pago a 85 días f.f.,EUR,General
002119,B81462590,TGA INGENIERIA GRAFICA S.L.,Pol. Ind. San José de Valderas,Madrid,LEGANES,28918,91 6211880,,España,ES,,,EUR,General
002126,,"TERMINAL CATALUNYA, S.A.",,,,,,,,,,Contado,EUR,General
002129,,TCV-STEVEDORING COMPANY S.A.,,,,,,,,,,Contado,EUR,General
002133,,TRANSP. ALONSO SALCEDO S.A.,,,,,,,,,,Contado,EUR,General
002137,A28447886,"TEC CONTAINER, S.A.","C/Tajo, 19, Pol. Ind. ""LAS ACA",Madrid,MEJORADA DEL CAMPO,28840,91 3021638,,España,ES,,Transferencia a 60 días f.f.,EUR,General
002138,,"TIERRA ARMADA, S.A.",,,,,,,,,,Contado,EUR,General
002139,,TRACTAMENT METROPOLITæ DE FANGS S.L,,,,,,,,,,Contado,EUR,General
002140,,TRANSMAPI BALEARIA,,,,,,,,,,Contado,EUR,General
002141,A28810182,TEM GORRIS,,Madrid,,,,,,ES,,Contado,EUR,General
002142,A53817359,TERMINAL MARITIMAS DEL SURESTE SA,aVENIDA DE lORING 6 eNTLP K,Alicante / Alacant,ALICANTE,03003,,,,ES,,Contado,EUR,General
002143,A12036091,NOATUM TERMINAL CASTELLON S.A.,MUELLE CENTENARIO S/N,Castellón / Castelló,GRAO DE CASTELLON,12100,,,,ES,,Contado,EUR,General
002203,,VELTIAN S.A.,,Madrid,,,,,,ES,,,EUR,General
002204,VME640813HF6,VOLKSWAGEN DE MEXICO S.A. DE C.V.,Autopìsta México-Puebla Km. 11,Extranjero,PUEBLA (MEXICO),72700,+52 (222) 23090,,Méjico,MX,,,EUR,Exento
002205,A96758842,UNION NAVAL VALENCIA S.A.,,Madrid,,,,,,ES,,Contado,EUR,General
002206,U85697712,UTE AMPLIACION ATOCHA,AVDA. CAMINO DE SANTIAGO 50,Madrid,MADRID,28050,,,,ES,,Contado,EUR,General
002207,E84506633,ALVAREZ SIERRA  C.B.,"Claudio Coello, 112",Madrid,MADRID,28006,915613292,D_TEXTIL@HOTMAIL.COM,,ES,,,EUR,General
003000,E84506633,"ALVAREZ SIERRA, C.B.","C/Claudio Coello, 112",Madrid,MADRID,28006,91 561 32 92,d_textil@hotmail.com,España,ES,,,EUR,General
003001,,TAYCO MACHINERY,,,,,902 300 407,fpalomera@taycomachinery.com,,,,,EUR,General
003002,CAM-01197210,JOSEPH TIMOLEON NSERE,"Avda. de la Libertad, 115",GUINEA ECUATORIAL,MALABO,0653,00 240 25 17 07,,Europa,GQ,,,EUR,En exportación
003003,A45699998,"AERNNOVA COMPOSITES, S.A.","Vía Tarpeya, s/n",Toledo,TOLEDO,45007,925 269 504,,España,ES,,Transferencia a 60 días f.f.,EUR,General
003004,B70080494,"TECAIS, S.L.","Pol. Ind. Río do Pozo, Parc. 1",La Coruña / A Coruña,NARÓN,15573,981 396 082,,España,ES,,,EUR,General
003005,,HORTA COSLADA CONSTRUCCIONES METALICAS S.L.,"Camino del Corral, s/n",Madrid,Camarma de Esteruelas,28816,91 886 5970,javier.farina@hortacoslada.com,España,ES,,,EUR,General
003006,S-2800147-G,MINISTERIO DE DEFENSA-CUARTEL GRAL ARMADA,Arsenal de la Carraca,Cádiz,SAN FERNANDO,11100,956 827 991,pfuemar@fn.mde.es,España,ES,,,EUR,Exento
003007,B35455989,"FRANOLI, S.L.","C/Mahon, 6, 3º B",Las Palmas,LAS PALMAS DE GRAN CANARIA,35008,928 469227,mail@franoli.com,España,ES,,,EUR,General
003008,,MOSTOLES INDUSTRIAL S.A.,,,,,91 664 8800,juangarcia@moinsa.es,,,,,EUR,General
003009,,"SEDEMAN 2002, S.L.U.","Pol. Torrezar, s/n - Modulo 1",Vizcaya,OROZKO,48410,946 339 836,antxorka@amce-manutencion.com,España,ES,,,EUR,General
003010,,"JOMISA-SUMINISTROS INDUSTRIALES Y NAVALES, S.L.","C/Iturriondo, 18 - P.A.E. Ibar",Vizcaya,LEIOA,48940,94 480 39 54,jomisaspain@terra.es,España,ES,,,EUR,General
003011,A08279093,METALBAGES,Poligono Industrial Santa Anna,Barcelona,SANTPEDOR,08251,93 827 3944,joller@mb.gestamp.com,España,ES,,,EUR,General
003012,,ENDESA GENERACION,,,,,,francisconaranjo@endesa.es,,,,,EUR,General
003013,Q2822003F,INSTITUTO NACIONAL DE TECNICA AEROESPCACIALES,"Ctra. de Torrejón a Ajalvir, K",Madrid,TORREJÓN DE ARDOZ,28850,91 520 64 67,mosqueravj@inta.es,España,ES,,Transferencia a 60 días f.f.,EUR,General
003014,B15225055,"GABADI, S.L.","P.I. Río Do Pozo, Avda. Jesús",La Coruña / A Coruña,NARON,15573,981 397301,,España,ES,,Transferencia a 60 días f.f.,EUR,General
003015,A12094678,"ASFIBE, S.A.","Avda. Marques de Benicarló, 39",Castellón / Castelló,BENICARLO,12580,964 47 44 17,,España,ES,,,EUR,General
003016,A62906219,"LASER SALELLES, S.A.","Polígono Ind. Salelles, 11, C/",Barcelona,SANT SALVADOR DE GUARDIOLA,,,,España,ES,,,EUR,General
003017,,"ARCELORMITTAL ESPAÑA, S.A.","Factoría Avilés, s/n",Asturias,Trasona-Corvera,33400,985126609,,España,ES,,,EUR,General
003018,B50672146,"TRANSMISIONES Y RODAMIENTOS GMC, S.L.","C/GURREA DE GALLEGO,  5",Zaragoza,ZARAGOZA,50014,976 473377,pedro@trans-gmc-rod.com,España,ES,,,EUR,General
003019,B45620184,"PROINCAR-PROYECTOS INDUSTRIALES CARMONA, S.L.",Polígono Ind. MONTEBOYAL (3ª f,Toledo,CASARRUBIOS DEL MONTE,45950,91 8183470,administracion@aplince.e.telefonica.net,España,ES,,,EUR,General
003020,,REMCAR SRL,,,,,0368414027,dragos.caraghin@remcar.ro,Rumanía,RO,,,EUR,General
003021,,INDUSTRIAS RIOS S.L.,,,,,983291484,r.vega@industriasrios.com,,,,,EUR,General
003022,A3396,"ASTURMASA - ASTURIANA DE MAQUINARIA, S.A.","Avda. de Gijón, 72",Asturias,AVILES,33400,985 129068,,España,ES,,Transferencia a 60 días f.f.,EUR,General
003023,B70161351,"TAPICERIAS A RIA NARON, S.L.","Ctra. de la Gándara, 341, Bajo",La Coruña / A Coruña,NARON,15570,629 337 497,,España,ES,,Contado,EUR,General
003024,05346850V,"SERMARE, S.A. - Servicio Madrileño de Recambios","C/Gerardo Cordón, 1",Madrid,MADRID,28017,91 4043905,,España,ES,,Contado,EUR,General
003025,,HOLMATRO INDUSTRIAL EQUIPMENT,Lissenveld 30,Extranjero,Raamsdonksveer (THE NETHERLAND,4940,+31 162 751500,,Holanda,NL,,,EUR,Exento
003026,B12075131,"SIR-SUMINISTROS INDUSTRIALES Y RECAMBIOS, S.L.","Pol. Ind. Los Cipreses, Nave 4",Castellón / Castelló,CASTELLÓN,12006,902 995914,sir@sir.es,España,ES,,,EUR,General
003027,,"IBERESPACIO - IBERICA DEL ESPACIO, S.A.","Fuencarral, 123, 5ª planta",Madrid,MADRID,28015,91 4441500,mfx@iberespacio.es,España,ES,,,EUR,General
003028,,FORGITAL,,,,,,,,,,,EUR,General
003029,,"MOBILIFT PORTUGAL, LDA.","Rua do Cabeço de Vigia, 1-3 -",Extranjero,PALMELA,2951-,+351 212 338130,,Portugal,PT,,,EUR,General
003030,B11072980,CAMENAVAL S.L,"POL.IND.FADRICAS.C/ HILADORES,",Cádiz,SAN FERNANDO,11100,956 887632,CAMENAVAL@YAHOO.ES,España,ES,,,EUR,General
003031,,SUMINISTROS BEYMA,,,,,968 441516,ventas@suministrosbeyma.com,,,,,EUR,General
003032,B30451017,"TALLERES RUIZ ROJO, S.L.","Ctra. Nacional 340, Km. 606",Murcia,"LA HOYA, LORCA",30816,968 481747,roki@gruasruizrojo.com,España,ES,,,EUR,General
003033,A43030626,"REPASA-REMOLCADORES DE PUERTO Y ALTURA, S.A.","Moll Reus, s/n - Edif. Fruport",Tarragona,TARRAGONA,43001,977 252565,,España,ES,,,EUR,General
003034,B15448624,"MONCINA, S.L.","Avda. Dos Camistas, 49 - Pol.",La Coruña / A Coruña,NARON,15578,981 397017,,España,ES,,Contado,EUR,General
003035,B59559351,"CELSA - COMPAÑIA ESPAÑOLA DE LAMINACION, S.L.","Pol. Industrial ""SAN VICENTE"",",Barcelona,CASTELLBISBAL,08755,93 773 04 00,,España,ES,,,EUR,General
003036,GPU 060529659,GONVAUTO PUEBLA DE C.V.,"Avenida Automoción, núm. 8",Extranjero,San Lorenzo de Almecatla - CUA,72710,,,Méjico,MX,,Transferencia a 60 días f.f.,EUR,Exento
003037,,SERRA SOLDADURA,,,,,,,,,,,EUR,General
003038,,TADECAR CARRETILLAS,,,,,,,,,,,EUR,General
003039,B50029263,"INDUSTRIAS LEBLAN, S.L.",Pol. Malpica Alfinden - Ctra.,Zaragoza,LA PUEBLA DE ALFINDEN,50171,976 455 602,proveedores@leblan.com,España,ES,,,EUR,General
003040,B83195966,"ARIES COMPLEX AERONAUTICA, S.L.","Avda. de la Industria, 19",Madrid,TRES CANTOS,28760,,,España,ES,,Pago a 85 días f.f.,EUR,General
003041,A38001657,"CAPSA-COMPAÑÍA AUXILIAR DEL PUERTO, S.A.","Muelle Bufadero, Carretera San",Sta. Cruz de Tenerife,SANTA CRUZ DE TENERIFE,38180,922 842429,,España,ES,,,EUR,General
003042,4421721D,SHERRITT OVERSEAS CORP.,"C/Eduardo Benot, 5 2º B",Las Palmas,LAS PALMAS DE GRAN CANARIA,35007,,,España,ES,,Contado,EUR,Exento
003043,,"GUADAIRA AIRCRAFT MAINTENANCE, S.A.",,,,,95 632 43 00,patricia.baston@gam-aviation.es,,,,Contado,EUR,General
